,Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_parasanguinis_clade_411,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_NA,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_veroralis,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_sp._HMT_180,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia_aeria,Bacteria_Firmicutes_Bacilli_Bacillales_Gemellaceae_Gemella_morbillorum,Bacteria_Firmicutes_Negativicutes_Veillonellales_Veillonellaceae_Veillonella_rogosae,Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia_defectiva,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_[XIV]_Lachnoanaerobaculum_umeaense,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_[XIV]_Lachnospiraceae_[G-2]_bacterium_HMT_096,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_oralis,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_nigrescens,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_durum,Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_leadbetteri,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_cinerea,Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_granulosa,Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_iners,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_intermedia,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_tannerae
SRR6751282,541,96,490,105,0,0,0,0,0,0,60,0,5,0,0,0,0,0,12
SRR6751285,592,0,166,577,0,0,183,21,60,30,0,0,0,0,0,0,0,0,0
SRR6751284,262,989,141,159,111,83,166,139,14,40,62,0,32,0,0,65,0,22,24
SRR6751287,301,0,253,213,90,0,0,0,31,99,0,101,59,44,0,0,0,0,0
SRR6751286,1081,191,0,221,0,0,4,0,42,0,0,0,10,0,0,0,0,0,0
SRR6751289,329,33,167,256,75,0,107,27,44,134,22,0,5,90,0,0,0,0,61
SRR6751288,289,483,123,645,0,112,0,0,52,191,0,25,46,40,0,0,0,0,57
SRR6751452,337,0,0,69,115,0,0,61,0,0,0,0,0,0,0,0,0,0,0
SRR6751453,370,530,200,637,0,0,0,0,39,0,0,0,43,0,0,0,0,0,0
SRR6751442,792,178,154,110,0,0,0,87,0,34,0,0,0,0,0,0,0,6,0
SRR6751443,754,0,513,176,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
SRR6751440,73,85,34,490,75,47,0,0,25,26,0,0,17,44,0,16,0,0,31
SRR6751441,0,0,8,53,0,0,173,0,24,0,0,0,0,10,23,0,0,0,0
SRR6751446,172,0,33,191,0,131,0,0,22,0,0,0,32,27,0,37,0,212,0
SRR6751447,709,37,190,215,0,0,109,0,0,0,0,13,6,0,0,0,0,0,0
SRR6751444,642,0,299,115,0,0,0,0,31,102,0,25,0,0,0,0,0,0,23
SRR6751445,848,0,123,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,21
SRR6751514,285,0,177,112,0,0,0,0,0,10,0,0,22,0,8,0,0,10,0
SRR6751513,751,0,61,49,0,0,0,0,0,29,0,17,0,0,0,0,0,0,18
SRR6751520,170,0,44,96,0,43,128,18,27,0,0,0,114,39,0,0,0,0,0
SRR6751519,575,143,0,196,54,74,79,56,26,32,35,0,0,150,0,0,0,30,0
SRR6751518,828,0,222,0,0,0,0,0,0,194,0,0,0,0,0,11,0,0,0
SRR6751517,0,0,28,219,69,283,0,124,99,0,84,0,0,68,5,0,0,0,0
SRR6751524,1003,193,130,297,0,14,0,0,25,178,0,43,0,0,0,0,0,0,0
SRR6751523,544,49,66,52,0,0,0,27,0,0,0,55,10,54,0,0,0,0,0
SRR6751522,766,0,103,152,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751521,291,290,0,22,124,0,0,33,28,0,0,31,0,0,0,105,0,0,0
SRR6751660,121,0,0,48,0,0,0,0,0,10,0,59,0,64,0,20,0,0,22
SRR6751661,1498,0,0,49,0,0,0,45,0,0,0,0,129,0,0,0,0,0,0
SRR6751670,754,26,133,246,292,0,0,88,0,112,0,0,0,0,0,0,0,0,97
SRR6751671,252,0,32,207,0,0,76,0,0,29,0,14,0,0,0,44,0,0,12
SRR6751672,163,212,91,33,84,73,0,0,0,7,0,0,8,36,0,26,0,25,0
SRR6751673,365,96,51,54,0,361,0,0,0,0,0,0,0,0,0,22,0,0,8
SRR6751666,0,242,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
SRR6751667,748,0,151,220,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
SRR6751668,0,0,0,0,110,424,0,123,0,0,122,0,0,0,0,0,0,0,15
SRR6751669,0,80,0,82,0,11,0,81,0,0,48,0,0,0,0,0,0,0,0
SRR6751346,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751345,242,0,173,550,131,0,215,0,0,0,0,0,0,0,0,23,0,0,0
SRR6751352,448,682,140,0,527,0,0,0,130,0,0,0,0,0,0,55,0,0,0
SRR6751351,386,69,0,0,0,0,0,247,0,0,62,0,43,47,0,0,0,0,0
SRR6751354,646,71,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751353,877,126,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751348,360,38,0,0,0,0,0,0,0,128,0,40,0,0,0,0,0,0,0
SRR6751347,249,38,102,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,36
SRR6751350,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
SRR6751349,392,50,0,87,0,0,419,0,0,0,0,0,0,0,0,64,0,0,0
SRR6751499,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751500,0,0,0,242,0,0,149,0,0,284,0,0,0,0,0,0,0,0,0
SRR6751507,1238,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751508,322,177,200,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751505,464,189,132,0,0,115,0,0,0,78,0,0,41,0,0,0,0,0,0
SRR6751506,310,0,0,78,0,0,0,46,74,0,0,0,0,0,0,0,0,0,0
SRR6751503,744,0,82,114,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0
SRR6751504,524,394,0,212,0,0,235,0,0,0,0,0,119,0,0,0,0,0,0
SRR6751501,0,0,52,77,0,0,157,0,13,0,29,0,0,0,132,72,0,0,0
SRR6751502,839,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751590,164,76,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751589,244,71,181,152,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
SRR6751588,446,304,0,0,0,0,0,0,0,0,0,0,50,29,0,35,0,0,13
SRR6751587,324,140,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751586,0,1465,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0
SRR6751585,498,0,208,61,0,0,0,172,0,24,44,0,0,22,0,0,0,0,0
SRR6751584,1181,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751583,0,134,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751582,0,126,105,254,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
SRR6751581,290,0,0,86,0,0,0,161,0,0,0,0,0,51,0,0,0,51,19
SRR6751175,626,0,0,105,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
SRR6751176,0,320,0,0,0,0,169,0,0,0,0,0,0,0,0,34,0,0,0
SRR6751177,0,183,0,198,0,0,0,0,0,211,0,50,0,0,0,0,0,0,0
SRR6751178,337,0,377,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751179,0,436,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
SRR6751180,0,114,132,0,0,0,0,102,0,0,37,0,0,0,0,0,0,0,0
SRR6751181,97,0,0,0,94,0,0,0,0,35,0,0,0,0,0,0,0,0,0
SRR6751182,208,21,51,33,55,5,133,72,10,28,0,9,0,27,14,0,0,0,9
SRR6751183,706,0,423,68,0,9,0,0,30,25,0,7,0,0,0,0,0,0,0
SRR6751184,587,0,271,38,46,61,51,0,0,0,10,13,0,0,0,0,0,0,10
SRR6751167,483,516,2,0,0,94,0,48,4,0,0,2,0,0,14,0,0,0,0
SRR6751593,276,277,97,191,0,43,109,62,13,13,0,28,23,29,0,37,0,0,0
SRR6751594,643,2,157,573,0,0,0,0,0,56,0,30,4,0,18,0,0,4,164
SRR6751595,389,16,366,83,46,87,0,32,10,0,111,3,6,8,0,18,0,0,3
SRR6751596,635,122,0,155,0,0,77,0,16,0,0,0,0,0,0,0,0,0,0
SRR6751173,650,0,0,94,35,0,0,0,0,0,0,23,0,38,0,11,0,0,14
SRR6751174,455,0,873,50,0,208,0,0,0,136,31,8,0,0,0,0,0,0,0
SRR6751356,227,369,124,1106,0,38,176,10,33,55,0,0,27,0,17,0,0,0,0
SRR6751401,866,26,68,88,186,0,0,43,0,6,0,8,36,37,0,0,0,0,0
SRR6751451,96,0,60,369,17,0,69,72,39,0,26,28,36,51,30,0,0,0,0
SRR6751450,122,128,44,96,72,41,45,23,17,0,14,11,46,0,0,11,0,0,0
SRR6751449,311,0,250,403,0,15,91,20,17,0,0,20,18,0,0,0,0,0,0
SRR6751448,1240,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
SRR6751455,1560,50,0,216,83,28,28,5,0,11,0,9,0,12,19,13,0,0,0
SRR6751454,1199,172,211,1350,0,0,85,26,42,83,16,26,20,0,0,22,0,0,6
SRR6751530,127,951,0,65,205,15,50,60,14,0,0,15,30,57,13,0,0,0,7
SRR6751527,537,0,123,520,0,6,0,0,8,7,0,23,0,26,0,0,0,0,67
SRR6751528,37,78,16,16,57,145,41,21,0,10,137,5,13,0,0,0,0,0,23
SRR6751378,1037,0,102,786,57,193,151,213,30,29,43,29,26,663,0,0,0,4,43
SRR6751377,973,0,145,231,0,15,157,44,19,7,0,0,0,9,0,0,0,0,13
SRR6751373,244,0,86,338,30,107,76,11,35,19,0,6,95,13,0,11,0,0,0
SRR6751375,973,172,115,348,0,98,342,0,43,22,0,29,7,0,7,0,0,0,0
SRR6751240,259,6,16,270,42,0,136,67,155,165,0,0,20,26,13,0,0,0,0
SRR6751225,237,60,0,172,25,13,369,16,23,0,0,0,37,5,42,0,0,0,18
SRR6751227,226,236,142,60,0,36,39,39,23,11,23,27,0,16,0,28,0,0,62
SRR6751229,443,0,125,298,0,25,0,28,20,5,5,0,26,4,0,0,0,0,3
SRR6751228,277,277,0,111,121,35,84,5,0,0,0,32,21,75,0,26,0,0,0
SRR6751230,347,553,15,205,88,5,25,55,0,0,0,0,26,11,28,0,0,6,0
SRR6751231,741,0,132,610,0,0,0,26,0,14,0,27,0,33,0,10,0,0,15
SRR6751232,1176,0,407,227,0,17,0,0,0,6,0,45,7,0,6,0,0,32,15
SRR6751476,1832,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SRR6751221,335,59,302,95,0,5,0,16,0,9,20,41,0,3,21,25,0,0,7
SRR6751215,747,86,0,320,0,60,0,27,14,6,0,49,35,13,0,28,0,0,0
SRR6751324,125,256,7,71,54,0,8,26,21,0,0,0,121,0,9,17,0,0,0
SRR6751323,754,122,158,182,0,0,58,0,0,21,0,50,5,7,0,16,0,13,14
SRR6751326,870,0,94,139,0,9,0,0,13,0,0,7,7,0,0,0,0,0,2
SRR6751325,611,17,0,134,0,0,55,37,2,11,19,0,27,0,53,4,0,0,0
SRR6751328,318,24,136,2028,0,22,361,22,22,121,0,2,192,0,0,0,0,0,8
SRR6751185,117,194,92,471,0,22,0,48,17,26,22,0,19,22,0,38,0,0,11
SRR6751243,43,61,47,174,0,58,0,133,0,0,235,13,0,48,0,69,0,0,0
SRR6751242,146,411,76,178,21,0,383,32,47,0,0,0,47,18,0,0,0,0,80
SRR6751169,567,329,114,134,13,75,260,21,15,14,0,69,12,63,3,0,0,0,69
SRR6751170,1080,6,61,81,172,0,0,0,0,0,128,5,0,25,0,0,0,0,13
SRR6751165,413,298,0,74,91,66,309,30,12,0,17,9,29,21,4,0,0,37,12
SRR6751166,468,5,18,85,3,49,97,37,21,7,12,11,9,37,0,56,0,9,0
SRR6751168,1138,110,171,112,153,124,0,0,0,5,0,143,287,137,0,158,0,0,141
SRR6751420,372,75,138,349,0,26,205,34,51,0,0,0,76,19,0,0,0,0,0
SRR6751162,783,157,0,275,120,50,209,0,19,16,99,54,0,19,0,0,0,0,157
SRR6751163,0,0,19,107,94,242,0,293,11,0,58,90,67,152,0,0,0,0,31
SRR6751164,880,0,546,83,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0
SRR6751567,284,483,134,426,0,57,118,75,38,0,15,0,6,0,0,0,0,0,20
SRR6751566,622,164,327,91,0,39,139,94,26,40,0,0,0,9,6,0,0,0,0
SRR6751560,136,0,0,225,82,29,268,4,41,0,0,33,19,51,0,48,0,0,128
SRR6751559,348,0,13,115,327,26,118,236,19,3,53,0,3,90,404,109,0,21,0
SRR6751558,308,0,0,35,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751557,316,145,126,280,34,69,0,67,22,12,0,29,0,12,4,0,0,0,0
SRR6751563,98,64,36,99,0,0,414,41,0,31,0,20,0,103,10,0,0,0,0
SRR6751562,244,407,172,129,230,14,55,96,3,7,0,0,67,109,0,0,0,0,0
SRR6751561,301,414,736,480,0,0,105,100,0,70,37,33,0,44,0,0,0,0,27
SRR6751132,766,463,3,96,56,90,164,0,0,0,0,67,25,51,55,58,0,0,0
SRR6751133,358,166,512,514,0,251,142,140,28,29,53,61,13,0,5,0,0,0,81
SRR6751137,30,204,67,238,0,0,60,15,24,7,22,100,0,99,0,114,0,0,14
SRR6751138,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751135,414,0,108,160,0,17,0,98,0,10,0,4,21,56,0,12,0,0,2
SRR6751136,520,0,74,185,0,12,0,0,0,0,0,26,0,0,0,0,0,32,38
SRR6751141,202,76,77,222,136,24,22,56,24,11,0,14,66,15,0,0,0,0,0
SRR6751142,1219,42,328,496,0,31,0,9,0,29,0,17,27,45,0,23,0,125,35
SRR6751139,489,0,585,483,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0
SRR6751140,385,64,349,444,0,9,113,0,21,6,0,4,18,0,0,0,0,0,0
SRR6751294,61,63,188,420,7,29,122,84,24,224,27,11,14,39,0,0,0,0,3
SRR6751341,2902,0,211,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751296,233,0,51,45,33,21,0,33,19,18,0,44,43,38,0,34,0,0,0
SRR6751295,1037,119,117,625,0,0,0,0,8,0,0,19,25,6,0,14,0,0,0
SRR6751298,255,446,38,87,96,23,82,73,0,34,23,0,93,0,0,0,0,0,0
SRR6751297,115,0,196,524,0,0,204,146,17,69,0,11,4,10,0,0,0,0,0
SRR6751300,468,0,170,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751299,599,0,747,371,26,0,130,32,10,50,17,9,21,0,0,0,0,0,0
SRR6751302,1332,0,411,733,0,0,0,4,0,134,0,7,37,8,0,10,0,0,0
SRR6751301,294,80,68,126,17,89,119,23,0,14,25,7,39,23,0,0,0,0,0
SRR6751313,1149,0,73,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751314,663,86,27,477,5,47,453,19,36,4,0,0,19,0,0,15,0,0,15
SRR6751309,286,238,9,61,105,24,14,55,0,0,68,42,34,23,18,18,0,0,0
SRR6751310,610,0,67,96,265,0,32,0,0,30,0,0,24,8,23,12,0,0,0
SRR6751311,643,0,147,73,0,4,0,0,0,6,0,9,35,2,0,6,0,0,0
SRR6751312,920,65,123,1026,0,43,0,29,14,0,0,25,5,0,0,0,0,18,9
SRR6751305,433,90,38,467,0,28,171,8,58,0,6,31,17,45,6,21,0,0,0
SRR6751306,952,5,24,221,0,0,2,0,44,0,0,0,0,0,0,0,0,0,0
SRR6751307,487,0,586,119,19,0,0,18,9,0,17,0,13,0,0,19,0,0,0
SRR6751308,1387,34,242,319,8,13,0,0,0,0,0,0,0,31,21,29,0,0,0
SRR6751467,435,7,172,538,174,5,0,54,0,0,52,30,39,18,18,0,0,0,11
SRR6751466,2573,0,0,29,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0
SRR6751471,155,63,25,622,0,26,251,61,84,58,0,0,29,14,11,0,0,0,0
SRR6751470,280,181,286,889,0,20,261,0,0,29,0,60,4,0,14,0,0,0,52
SRR6751469,455,193,174,366,31,36,137,27,16,220,21,0,16,0,0,23,0,0,19
SRR6751468,79,358,0,12,0,0,133,14,19,0,0,0,16,6,0,11,0,0,2
SRR6751475,280,0,75,90,52,25,0,51,29,0,0,0,49,3,334,0,0,0,0
SRR6751474,852,59,0,352,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
SRR6751473,215,442,214,430,16,17,262,12,28,40,0,50,19,5,21,15,0,0,92
SRR6751625,278,230,277,99,22,4,0,0,34,0,0,14,8,0,0,11,0,0,0
SRR6751626,356,24,18,859,0,135,0,0,51,17,0,8,104,41,0,36,0,4,102
SRR6751633,185,67,217,185,26,348,57,33,22,12,18,52,38,32,4,0,0,80,32
SRR6751634,152,0,0,46,155,138,0,63,0,0,0,34,9,0,86,0,0,0,0
SRR6751383,278,11,362,299,32,81,116,149,63,31,30,0,13,25,41,0,0,0,0
SRR6751632,290,127,172,467,0,18,0,42,28,73,60,0,0,0,0,0,0,0,0
SRR6751629,753,0,914,417,0,4,0,0,0,84,0,3,0,5,0,8,0,3,0
SRR6751630,213,605,170,220,0,219,95,5,28,24,0,0,7,37,13,53,0,0,40
SRR6751627,373,598,157,347,0,151,71,0,42,15,0,6,0,19,0,0,0,0,35
SRR6751628,650,67,311,287,0,0,0,0,2,119,0,30,14,0,0,0,0,0,9
SRR6751214,557,0,417,321,0,22,0,22,0,17,4,13,54,27,0,13,0,0,12
SRR6751213,1938,0,154,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751220,471,10,76,119,0,40,0,22,0,4,0,20,0,0,0,0,0,26,14
SRR6751219,997,0,0,1130,0,41,0,9,0,22,0,17,70,10,0,29,0,0,166
SRR6751222,282,62,146,298,60,23,81,120,7,5,0,13,14,9,10,20,0,0,14
SRR6751211,380,127,0,193,39,56,182,9,0,0,0,12,10,12,0,13,0,0,0
SRR6751216,517,0,81,248,0,139,0,8,0,0,14,44,6,28,0,39,0,0,68
SRR6751197,48,70,149,585,0,0,0,136,35,455,0,0,0,100,0,0,0,0,0
SRR6751218,215,443,0,319,25,8,81,75,34,9,30,6,7,0,14,25,0,0,0
SRR6751217,621,0,61,888,30,51,61,25,0,0,0,5,53,15,0,0,0,0,0
SRR6751250,225,26,121,295,29,0,0,0,12,0,0,0,0,0,0,0,4,0,6
SRR6751251,1076,0,117,560,24,117,0,24,28,66,0,56,22,26,0,12,0,0,33
SRR6751252,250,24,0,126,34,0,22,20,12,0,0,10,30,5,0,0,0,0,0
SRR6751253,537,410,49,228,0,0,0,36,0,0,0,5,0,12,28,0,0,0,0
SRR6751254,215,66,285,590,0,25,51,0,0,0,8,0,26,7,6,0,0,0,0
SRR6751255,567,401,232,529,13,7,73,0,24,0,4,30,0,15,0,0,0,0,0
SRR6751256,196,0,54,106,0,42,36,11,0,0,0,92,4,2,0,0,0,0,25
SRR6751257,416,0,0,16,29,0,0,0,0,0,0,0,7,0,0,0,0,0,0
SRR6751258,363,0,0,263,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
SRR6751259,1230,78,257,195,0,10,0,42,0,0,0,0,0,0,3,0,0,0,0
SRR6751385,571,0,46,14,40,44,0,0,0,0,0,35,32,0,0,0,0,4,30
SRR6751399,500,277,434,196,0,22,0,0,33,0,0,0,16,0,7,0,0,0,0
SRR6751398,175,171,109,290,73,19,180,4,25,70,10,25,21,7,0,0,0,0,39
SRR6751397,380,0,333,798,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
SRR6751396,293,76,216,96,0,0,0,0,5,10,0,14,16,0,7,10,0,0,0
SRR6751394,194,350,31,199,18,26,0,432,0,0,0,4,38,119,7,197,0,0,0
SRR6751395,63,33,43,74,90,8,82,10,34,20,49,12,11,0,0,12,0,0,2
SRR6751393,261,880,86,567,132,102,3,14,0,26,35,25,17,16,5,9,0,0,0
SRR6751392,632,172,74,272,0,27,395,0,23,0,0,0,4,0,0,0,0,0,0
SRR6751546,642,0,201,425,0,22,68,0,0,26,0,29,0,0,0,0,0,0,9
SRR6751539,194,14,144,109,10,0,0,0,24,0,4,0,7,15,0,0,0,0,0
SRR6751540,749,20,229,95,0,26,9,57,0,145,0,30,22,0,0,4,0,0,11
SRR6751537,66,487,0,95,31,0,3,0,62,0,0,0,0,0,0,0,0,0,46
SRR6751538,252,335,82,82,37,9,35,0,11,77,0,14,69,0,11,0,0,0,0
SRR6751543,491,358,79,300,0,3,41,26,16,30,147,126,6,20,15,2,0,0,191
SRR6751544,1208,250,172,476,0,4,203,0,111,302,0,0,0,0,5,0,0,9,12
SRR6751541,1376,0,239,84,39,20,0,0,57,146,0,0,119,23,0,30,0,0,0
SRR6751200,367,211,10,184,0,0,0,29,0,0,0,6,21,24,27,18,0,0,4
SRR6751201,899,0,31,74,0,28,0,0,13,0,0,0,9,3,0,0,0,0,0
SRR6751202,250,79,50,60,0,0,0,45,0,0,0,0,0,0,0,0,0,0,11
SRR6751203,432,0,795,465,0,20,0,0,0,13,0,3,0,0,0,0,0,0,0
SRR6751204,423,0,734,147,0,21,0,0,0,25,97,22,9,24,0,0,0,0,31
SRR6751205,26,161,299,132,0,26,0,2,15,0,0,0,12,0,8,0,0,0,0
SRR6751206,496,65,323,127,0,9,0,38,0,0,0,0,0,36,0,24,0,0,0
SRR6751207,557,91,0,126,0,31,41,0,0,0,0,0,33,9,14,5,0,0,0
SRR6751208,164,437,0,297,0,0,57,62,40,69,0,17,0,20,0,22,0,13,27
SRR6751209,563,0,51,0,0,0,0,0,12,108,5,0,0,0,0,0,0,0,0
SRR6752244,314,132,22,183,27,83,4,11,207,0,23,4,2,22,0,0,0,4,0
SRR6752424,985,114,114,203,343,0,0,89,0,6,438,2,74,19,0,37,0,0,0
SRR6752423,910,131,240,567,189,0,0,8,10,0,286,21,50,22,0,37,0,0,7
SRR6752680,144,348,291,269,17,60,54,0,70,29,7,0,94,7,0,0,0,0,162
SRR6752679,299,49,4,174,0,0,39,0,0,0,0,0,10,0,66,0,0,0,0
SRR6752683,332,41,768,241,0,2,20,0,22,0,0,2,22,0,0,8,0,0,0
SRR6752682,377,0,43,272,12,0,36,0,21,17,0,37,19,11,0,0,0,9,0
SRR6752685,492,127,176,178,46,9,13,61,20,84,0,33,0,9,7,0,0,36,35
SRR6752684,150,118,134,303,0,0,151,127,24,6,51,18,0,0,0,0,0,0,0
SRR6752688,2151,0,35,694,0,0,0,0,26,0,0,0,0,48,0,41,0,0,0
SRR6752687,398,293,702,1022,0,0,37,68,72,161,0,45,0,70,0,0,0,0,9
SRR6752620,840,189,486,617,0,0,0,0,5,0,0,0,0,43,0,0,0,0,4
SRR6752621,0,0,0,156,54,173,58,60,94,0,0,5,22,37,5,0,0,0,14
SRR6752485,1083,0,3771,143,0,0,0,0,7,0,0,0,0,0,0,12,0,0,4
SRR6752488,573,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6752483,543,159,517,400,0,0,0,0,0,15,0,0,4,6,0,0,0,17,0
SRR6752484,1034,0,1945,70,61,5,18,0,0,0,0,0,0,0,0,54,0,0,0
SRR6752498,4532,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6752499,332,0,0,245,0,688,0,0,10,0,0,0,0,0,0,0,0,0,0
SRR6752500,301,0,115,360,0,57,24,50,148,0,0,0,0,20,0,7,0,101,17
SRR6752497,614,35,185,132,0,69,0,20,0,6,9,9,9,25,0,24,0,126,17
SRR6752135,294,27,289,269,0,210,0,72,31,0,17,14,26,43,0,21,10,197,27
SRR6752134,331,0,0,32,0,70,11,62,0,0,0,27,11,15,0,0,0,8,22
SRR6752133,1633,0,1843,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6752132,2353,111,4160,1511,0,19,0,198,0,0,0,61,0,0,6,0,0,0,44
SRR6752131,434,0,0,37,0,7,0,0,4,0,0,0,0,0,22,0,0,3,0
SRR6752130,500,0,1407,201,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
SRR6752129,827,0,481,383,25,11,0,21,17,61,0,0,9,27,0,85,0,70,8
SRR6752128,896,0,344,137,0,24,0,165,53,0,204,0,5,0,19,0,0,0,0
SRR6752127,944,0,72,107,454,0,23,0,14,0,0,0,7,0,0,0,0,0,0
SRR6752126,1022,385,1483,1724,54,19,57,122,38,496,46,23,0,4,0,11,0,0,8
SRR6752351,978,68,0,158,0,135,87,0,0,0,0,0,0,0,6,0,0,0,0
SRR6752352,139,0,504,198,0,10,0,82,0,0,0,0,0,0,0,0,0,0,0
SRR6752293,370,39,343,645,0,0,17,0,47,0,0,0,0,5,0,0,0,0,24
SRR6752294,931,0,172,248,46,7,0,39,0,0,0,0,9,53,0,0,0,0,4
SRR6752295,266,32,208,126,167,103,16,0,7,6,93,16,0,42,0,20,0,48,23
SRR6752296,15,0,0,14,65,3226,0,15,0,0,0,5,61,19,0,40,0,0,0
SRR6752297,6467,104,31,582,0,0,0,0,139,0,0,0,11,0,11,0,0,0,8
SRR6752298,326,324,64,219,136,32,50,142,34,7,420,0,23,30,0,27,0,0,15
SRR6752299,198,86,59,108,75,88,13,205,0,0,30,0,20,12,0,0,0,0,25
SRR6752300,294,177,78,87,138,78,0,52,56,8,4,9,12,47,0,0,0,0,0
SRR6752563,1163,129,49,316,69,107,30,18,0,49,24,3,6,25,0,55,0,0,3
SRR6752103,877,101,299,238,0,22,24,18,10,14,31,7,0,0,0,6,0,0,0
SRR6752203,1558,12,387,233,0,84,20,9,0,0,0,4,0,0,0,0,0,2,7
SRR6752098,364,17,163,153,66,55,0,252,36,77,0,0,44,40,77,27,0,0,7
SRR6752212,320,247,0,409,136,38,0,116,123,5,11,0,10,0,0,26,0,0,0
SRR6752206,633,0,344,96,126,43,2,9,46,38,95,14,0,0,0,0,0,0,7
SRR6752095,1286,108,1015,250,25,30,60,47,182,24,0,0,0,0,0,0,0,31,12
SRR6752094,516,0,61,43,0,13,36,25,45,0,0,0,24,16,0,0,0,0,0
SRR6752097,287,74,278,130,0,99,48,161,23,0,0,18,0,44,0,22,0,45,28
SRR6752096,400,97,521,79,215,139,0,63,0,0,0,15,23,0,0,0,0,9,19
SRR6752543,446,116,776,381,0,42,62,5,102,203,4,8,0,0,6,0,0,0,15
SRR6752558,825,2,274,105,30,31,0,16,28,0,15,11,22,20,0,0,2,0,2
SRR6752675,462,29,129,58,0,25,0,22,35,0,0,0,3,13,23,28,0,30,13
SRR6752681,1352,423,113,146,22,247,80,4,40,14,0,31,0,0,0,0,0,0,106
